solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,sqnr_dB,on_pareto_front
0,16,0,0,0,0,0,0,0,0,0.117000,1755,1.3517,1
1,16,0,1,0,1,0,1,0,1,0.127000,1598,13.0360,1
2,16,0,1,1,1,0,0,0,0,0.124000,2684,4.7604,1
3,16,1,0,1,0,0,0,1,0,0.118000,2085,3.8494,1
4,16,1,0,1,0,1,0,1,0,0.120000,2012,3.6660,1
5,16,1,1,1,1,1,1,1,1,0.132000,1865,41.4894,1
