Metric,Value
design_name,fft_1024_sol26_gen762
top_module,fft_1024_sol26_gen762_top
lut_count,2981
total_power_w,0.106
wns_ns,45.538
critical_path_delay_ns,54.455
clock_period_ns,100.0
