Metric,Value
design_name,fft_1024_sol5_gen719
top_module,fft_1024_sol5_gen719_top
lut_count,2717
total_power_w,0.105
wns_ns,45.806
critical_path_delay_ns,54.187
clock_period_ns,100.0
