Metric,Value
design_name,fft_1024_sol13_gen719
top_module,fft_1024_sol13_gen719_top
lut_count,2758
total_power_w,0.106
wns_ns,45.884
critical_path_delay_ns,54.109
clock_period_ns,100.0
