Metric,Value
design_name,fft_1024_sol21_gen758
top_module,fft_1024_sol21_gen758_top
lut_count,3040
total_power_w,0.105
wns_ns,45.430
critical_path_delay_ns,54.563
clock_period_ns,100.0
